 Destination Port, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std
445,10706606,29,24,8142,4220,3072,0,280.7586207,658.4197888
80,60166984,6,4,237,4593,213,0,39.5,85.03117076
53,24027,2,2,68,100,34,34,34.0,0.0
8080,1029807,3,3,0,18,0,0,0.0,0.0
80,2979847,2,1,0,0,0,0,0.0,0.0
80,28315,1,1,6,6,6,6,6.0,0.0
80,28466,1,1,6,6,6,6,6.0,0.0
443,101027175,14,12,1029,991,460,0,73.5,150.0403792
53,330,2,2,74,198,37,37,37.0,0.0
53,221,2,2,74,106,37,37,37.0,0.0
53,302,2,2,70,460,35,35,35.0,0.0
53,283,2,2,70,460,35,35,35.0,0.0
53,166,2,2,70,302,35,35,35.0,0.0
53,275,2,2,80,290,40,40,40.0,0.0
53,266,2,2,80,326,40,40,40.0,0.0
53,102033,2,2,64,196,32,32,32.0,0.0
53,51453,2,2,64,204,32,32,32.0,0.0
53,1140,2,2,72,246,36,36,36.0,0.0
53,293,2,2,72,328,36,36,36.0,0.0
22,1333970,41,42,2664,6954,456,0,64.97560976,109.864573
22,187,1,1,0,0,0,0,0.0,0.0
22,1335604,41,42,2728,6634,456,0,66.53658537,110.1299454
22,111,1,1,0,0,0,0,0.0,0.0
443,143347,47,60,1325,108751,570,0,28.19148936,110.2697559
443,143899,46,58,1325,110185,570,0,28.80434783,111.4072847
443,142605,45,58,1325,108751,570,0,29.44444444,112.5805884
443,142499,46,53,1313,100063,570,0,28.54347826,111.4687214
443,23828,27,31,162,59368,6,6,6.0,0.0
443,119090,23,28,1169,45025,570,0,50.82608696,156.1373673
443,23841,26,31,156,59368,6,6,6.0,0.0
443,199037,47,63,1325,100049,570,0,28.19148936,110.2697559
443,142923,46,60,1307,95705,570,0,28.41304348,111.499193
443,446800,23,28,1169,43577,570,0,50.82608696,156.1373673
443,141851,47,55,1325,98601,570,0,28.19148936,110.2697559
443,145376,51,60,1331,110185,570,0,26.09803922,106.0175938
443,142904,47,56,1313,104393,570,0,27.93617021,110.3290344
443,142508,50,59,1331,104393,570,0,26.62,107.0277267
443,142561,48,59,1319,110185,570,0,27.47916667,109.1949242
443,142389,52,60,1337,110185,570,0,25.71153846,105.010053
443,142403,45,58,1319,103922,570,0,29.31111111,112.6125341
443,142089,45,55,1313,104393,570,0,29.17777778,112.6443092
443,142098,49,58,1325,104393,570,0,27.04081633,108.0950506
443,128912,21,26,1169,43577,570,0,55.66666667,162.8920911
443,143215,50,61,1337,110185,570,0,26.74,107.0006313
443,185921,48,58,1337,105841,570,0,27.85416667,109.1083766
443,131198,29,50,1169,92809,570,0,40.31034483,139.9780859
443,187746,48,64,1331,100049,570,0,27.72916667,109.1373797
443,188450,47,59,1325,100049,570,0,28.19148936,110.2697559
443,300724,49,65,1325,102959,570,0,27.04081633,108.0950506
443,195652,49,60,1343,105841,570,0,27.40816327,108.0109791
443,143173,51,58,1337,104393,570,0,26.21568627,105.9913796
443,142748,47,57,1325,108751,570,0,28.19148936,110.2697559
443,142235,47,57,1319,101497,570,0,28.06382979,110.2994746
443,152597,42,51,1283,95705,570,0,30.54761905,116.5816373
443,142263,47,58,1331,104393,570,0,28.31914894,110.239878
443,142478,49,57,1325,104393,570,0,27.04081633,108.0950506
443,125417,29,55,1169,98601,570,0,40.31034483,139.9780859
443,188411,43,59,1313,105841,570,0,30.53488372,115.1109917
443,141785,44,55,1313,93786,570,0,29.84090909,113.8577127
443,155181,78,106,1457,215903,570,0,18.67948718,86.05819438
443,200946,47,56,1325,100049,570,0,28.19148936,110.2697559
443,142298,45,55,1301,104393,570,0,28.91111111,112.7073488
443,196861,44,58,1319,105841,570,0,29.97727273,113.8247303
443,197144,45,56,1313,100049,570,0,29.17777778,112.6443092
443,142230,53,61,1343,110185,570,0,25.33962264,104.0306803
443,143922,46,59,1313,110185,570,0,28.54347826,111.4687214
443,142755,47,59,1331,108751,570,0,28.31914894,110.239878
443,124970,31,50,1169,95705,570,0,37.70967742,135.6058488
443,142117,47,54,1325,102959,570,0,28.19148936,110.2697559
443,142224,45,54,1307,102959,570,0,29.04444444,112.6759141
443,143176,48,57,1319,104393,570,0,27.47916667,109.1949242
443,142472,47,65,1319,110185,570,0,28.06382979,110.2994746
443,185687,47,59,1325,105841,570,0,28.19148936,110.2697559
443,142746,42,56,1319,108751,570,0,31.4047619,116.3707405
443,185922,46,58,1319,105841,570,0,28.67391304,111.4380853
443,143435,49,58,1325,108751,570,0,27.04081633,108.0950506
443,186578,48,62,1331,100049,570,0,27.72916667,109.1373797
443,190175,49,60,1337,105841,570,0,27.28571429,108.0391519
443,142210,44,56,1313,110185,570,0,29.84090909,113.8577127
443,142963,50,61,1337,110185,570,0,26.74,107.0006313
443,142878,48,61,1331,110185,570,0,27.72916667,109.1373797
443,190109,47,54,1331,107303,570,0,28.31914894,110.239878
443,143397,49,59,1319,113081,570,0,26.91836735,108.1227768
443,250001,19,27,1169,46473,570,0,61.52631579,170.5915748
443,188539,45,59,1319,104407,570,0,29.31111111,112.6125341
443,142469,48,59,1325,110185,570,0,27.60416667,109.1662288
443,23598,26,30,156,56486,6,6,6.0,0.0
443,142921,49,58,1325,104393,570,0,27.04081633,108.0950506
443,142553,44,55,1319,105855,570,0,29.97727273,113.8247303
443,142823,48,53,1319,104393,570,0,27.47916667,109.1949242
443,143432,49,61,1331,110185,570,0,27.16326531,108.0671757
443,153205,69,116,1415,215903,570,0,20.50724638,91.41125931
443,118987,22,27,1169,43577,570,0,53.13636364,159.4088172
443,143445,48,59,1331,105855,570,0,27.72916667,109.1373797
443,24781,25,29,150,55024,6,6,6.0,0.0
443,142625,45,55,1319,108751,570,0,29.31111111,112.6125341
443,144147,47,58,1313,110185,570,0,27.93617021,110.3290344
443,312417,24,31,1169,47921,570,0,48.70833333,153.057386
443,197560,44,56,1313,105841,570,0,29.84090909,113.8577127
443,207397,48,55,1337,105841,570,0,27.85416667,109.1083766
443,144045,48,58,1325,107289,570,0,27.60416667,109.1662288
443,201971,47,57,1325,100049,570,0,28.19148936,110.2697559
443,188080,43,56,1313,104407,570,0,30.53488372,115.1109917
443,142377,46,62,1325,105855,570,0,28.80434783,111.4072847
443,196656,44,58,1313,101511,570,0,29.84090909,113.8577127
443,141942,47,56,1319,104393,570,0,28.06382979,110.2994746
443,142878,50,61,1331,110185,570,0,26.62,107.0277267
443,125846,30,53,1169,98601,570,0,38.96666667,137.7402561
443,119881,20,26,1169,46473,570,0,58.45,166.6106318
443,23547,25,28,150,56486,6,6,6.0,0.0
443,142554,47,57,1313,104393,570,0,27.93617021,110.3290344
